"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KREMEN2",84.0153385854972,3.96527153632874,0.502405008976888,7.8925796229694,2.96003356007058e-15,1.91865428652361e-13
"IQGAP3",816.872696399139,3.952033509902,0.409347618210433,9.65446807087658,4.70595154233085e-22,1.97219938171441e-19
"CCL11",19.0036582408025,3.93825010731539,0.45408459071989,8.67294373735921,4.21090044501278e-18,5.81558847255259e-16
"PRAC2",1.58532667304576,3.92639814691357,1.30430036141037,3.01034812462052,0.00260948413985111,0.00883777776053518
"CLDN6",8.96174217770655,3.91078939778223,0.916752360467025,4.26591691107284,1.990828674936e-05,0.000127984852159929
"ANLN",1110.65019454038,3.89939392098243,0.42103844317338,9.26137264709745,2.0182073077645e-20,5.27489946557329e-18
"GABRA3",9.918688835382,3.89431478489884,0.825234450183489,4.7190404908968,2.36959655985093e-06,1.95460860311488e-05
"DLGAP5",504.122873390449,3.86345596734071,0.446841995383604,8.64613444406454,5.32733444822116e-18,7.19397324627287e-16
"TMEM270",4.85714352849263,3.84953155700238,0.678133786910204,5.67665500718094,1.37354092190526e-08,2.00882425925097e-07
"SKA1",224.851947390899,3.84877286571984,0.429378621256307,8.96358755463611,3.14282838413526e-19,6.06291504231555e-17
"MELK",475.961791393214,3.83917717081252,0.432103833024549,8.88484868079012,6.40078301132772e-19,1.08799882976464e-16
"PITX1",516.838795517136,3.83213995257663,0.539507285441417,7.10303652237287,1.22045134994215e-12,4.41451055997675e-11
"MUC5B-AS1",92.6685261774219,3.8308020650097,0.791632283391557,4.83911804177257,1.30416573904079e-06,1.15106596292173e-05
"TROAP",302.179832592208,3.82480081860408,0.413505323808805,9.24970151139474,2.25120450695904e-20,5.74220789609415e-18
"TDO2",79.3297992310354,3.81618481544231,0.506904429634446,7.52841086473509,5.13615605052887e-14,2.51196267847495e-12
"ZNF280A",2.24750265435523,3.80409195719365,1.22401024496863,3.10789225239788,0.00188426751359654,0.00669603661593437
"HJURP",333.266530304181,3.79754575763064,0.41059374024477,9.24891294096881,2.26787327940527e-20,5.74220789609415e-18
"CXCL11",231.046103402271,3.79642725862613,0.464751275348364,8.16872908155107,3.11655145301165e-16,2.57666721661069e-14
"CDC20",971.811843648941,3.79638283538555,0.431741260053002,8.79318977972941,1.4537261293656e-18,2.22237239160312e-16
"HMX2",3.50528727672757,3.79619523497856,1.15132436168485,3.29724216850862,0.000976392747886607,0.00383040324772107
"ACTL8",7.58208804132759,3.79111411414472,0.809975965050947,4.68052667946297,2.86138869848865e-06,2.31145812875253e-05
"PXDNL",260.345660261639,3.79014470325089,0.553966278344657,6.84183289021937,7.81862655506551e-12,2.36671675808191e-10
"CEP55",565.710953169032,3.78794608670318,0.418944582141999,9.04163998812444,1.54338653366106e-19,3.23406004083615e-17
"E2F8",164.00317855074,3.78780126865919,0.417112340107021,9.08100984901894,1.07572088517728e-19,2.35563491495534e-17
"LINC01561",6.50905591135654,3.77945662591795,0.590685004004668,6.39842995893643,1.56982722907021e-10,3.54956190297765e-09
