"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC2A4",599.117885068334,-4.62944193028457,0.523333041120787,-8.84607232207239,9.06535191419155e-19,1.46901005985503e-16
"CFD",4766.88623698598,-4.62545445274691,0.537119431191596,-8.61159396614151,7.2051645537918e-18,9.3157412132456e-16
"CRHBP",142.263330525905,-4.61795368420556,0.562107966546958,-8.21542116290178,2.11420911485197e-16,1.80316073525287e-14
"CSN3",35.8002744648579,-4.60360443397878,0.929260559876565,-4.95405124542279,7.2684050762143e-07,6.861092123788e-06
"SACS-AS1",6.12188806598372,-4.59618607326055,0.546944233611537,-8.40339067643404,4.3376861980622e-17,4.48664418792757e-15
"FRMD1",110.050226709326,-4.59611176462376,0.680657973246853,-6.75245416240338,1.45364996397311e-11,4.16672991442151e-10
"PENK",164.687148699611,-4.58459932334987,0.750477428551135,-6.10891034018286,1.00313659369517e-09,1.90643011594593e-08
"GYS2",3.00000683511961,-4.58149646659829,1.20383243415788,-3.8057592872576,0.000141369824800898,0.00071232925610187
"SLC26A3",131.787769460055,-4.56478596881301,0.709649060244893,-6.43245545514814,1.25558835035637e-10,2.89123507238688e-09
"CSN2",4.14028671671354,-4.5647162746751,1.45428093294114,-3.13881325903339,0.00169633512949573,0.00612126157848169
"PPP1R1A",2928.65520227265,-4.56329728187059,0.520902958409989,-8.76035969501816,1.94628314921997e-18,2.88465271390792e-16
"LPL",17752.4225354717,-4.55441408101341,0.591139684188228,-7.70446343365981,1.31394195010321e-14,7.34206597268019e-13
"LVRN",294.684790727904,-4.54239056841425,0.628720795948133,-7.22481361788609,5.01789563450506e-13,1.95778473816877e-11
"LOC101927531",3.16900328611413,-4.53582995987906,0.712634702728768,-6.36487381615124,1.95450349837044e-10,4.31891968499003e-09
"LNCDAT",2.08648869236942,-4.52589073950615,1.46227350362403,-3.09510548354285,0.00196742913695526,0.00695698283851782
"OPRPN",521.09646442489,-4.50140246179881,1.0810486079657,-4.16392235153002,3.12826539511564e-05,0.000190477823043777
"IGFBP1",12.3660294965781,-4.49712746814872,0.776931551990476,-5.7883187478063,7.10944066418996e-09,1.11417907301396e-07
"PGM5P3-AS1",15.8747372380807,-4.49372973429399,0.614242464781849,-7.31588906978283,2.55682820257229e-13,1.07338209188125e-11
"TRHDE",153.665685728688,-4.48446147820519,0.716827536208705,-6.25598383388488,3.95017666650746e-10,8.17861535202698e-09
"MLXIPL",482.854655387692,-4.47210353377564,0.5307027769857,-8.42675736346513,3.55375681854475e-17,3.7557029125377e-15
"ANGPTL7",179.46512672925,-4.45975989077461,0.710291899123386,-6.27877059597423,3.41260677560364e-10,7.18806177596166e-09
"CPA1",36.3003462424584,-4.43099246694996,0.51830167597476,-8.54906065780452,1.24094291377275e-17,1.48589159630907e-15
"PANTR1",6.6714998033291,-4.41312675506711,0.82256525574149,-5.36507799747627,8.09142463615404e-08,9.78985856799384e-07
"ADH1A",41.0718255478915,-4.41237256383519,0.517750372645097,-8.52220065297711,1.56549866445503e-17,1.82945077100522e-15
"LINC01697",74.0488167250882,-4.39964126142329,0.595535312174078,-7.38770845571162,1.4938083080893e-13,6.58983639650212e-12
"LINC02660",20.4714175746879,-4.39230258326043,0.541581089598777,-8.11014761707136,5.05583027211747e-16,3.97708952829642e-14
"HSD11B1-AS1",102.797279587799,-4.39218673795485,0.624107540161757,-7.03754794697158,1.95652222341563e-12,6.72661749428059e-11
"MTND1P23",131.309483181243,-4.37223082141018,0.63305728011615,-6.90653272419202,4.96642412491811e-12,1.54767783595365e-10
"MUCL1",9636.63974223031,-4.37037076946266,0.851714933404069,-5.13126000033309,2.87809028663635e-07,3.01802159608584e-06
"LYVE1",1165.13268810664,-4.36970005174752,0.524147305153838,-8.33677862841441,7.63417934750162e-17,7.30566918896543e-15
"TIMP4",1563.24207998377,-4.36452468029725,0.664399111162421,-6.56913082358156,5.06098055899118e-11,1.26560961365636e-09
"ECRG4",536.037279059573,-4.36275084986944,0.532936390242285,-8.18625061029523,2.69490260914045e-16,2.25879302484059e-14
"CXCL2",505.072312248467,-4.36125006541427,0.397506483074268,-10.9715193364518,5.23846564590803e-28,9.7947218811605e-25
"ADRA1A",80.7247991333993,-4.34175077040513,0.527976950160468,-8.22337181402623,1.97860225740994e-16,1.69943056787503e-14
"CAVIN2",2443.86376177714,-4.3389031485476,0.41272234383688,-10.512886480075,7.53513096538734e-26,7.63151784898626e-23
"BTNL9",1572.93192226488,-4.33785907033119,0.464563738532963,-9.33748958545416,9.86452070589174e-21,2.88887837106157e-18
"LOC124903729",2.83807365222922,-4.3353222503243,0.720039152272717,-6.02095349487646,1.73392576251786e-09,3.13357126464845e-08
"LINC01485",76.7620888227428,-4.33093669988427,0.622278529717934,-6.95980416012005,3.40746083032481e-12,1.10896991095144e-10
"LINC01612",9.79044770890439,-4.32996384609791,0.734912339433337,-5.8918099666643,3.81988316539108e-09,6.35522930192752e-08
"POU3F3",40.9603646229083,-4.32939929528689,0.750471357560531,-5.76890676995317,7.97874267105938e-09,1.23136062289169e-07
"KLB",693.330688533072,-4.32033600125107,0.554684193093274,-7.78882119780285,6.76372411235553e-15,4.06945153462935e-13
"HBB",2198.82086378028,-4.29661420968721,0.598434977925908,-7.17975113115659,6.98384287360262e-13,2.6278060174715e-11
"LOC124901122",5.52727266629505,-4.27877597204913,0.834982807106969,-5.12438811389919,2.98505542225419e-07,3.11674150123422e-06
"SGCG",136.88200399355,-4.26515352748641,0.646075954919412,-6.60162863980663,4.06665168256021e-11,1.03505866437687e-09
"PGM5-AS1",14.8825873304013,-4.2619662378993,0.565218179748141,-7.54039128712811,4.68563378464055e-14,2.32436123271955e-12
"PFKFB1",267.611070742799,-4.25096656603341,0.500962834086401,-8.48559269628423,2.1462196020624e-17,2.39303485629958e-15
"KCTD8",3.28281711535357,-4.23432386400138,0.650620167875575,-6.50813496579337,7.60895421137682e-11,1.82577344536956e-09
"LINC00445",8.43996864546368,-4.22596990792894,0.754647661056124,-5.5999244760326,2.14445212123057e-08,2.96671586287714e-07
"SLC22A12",8.21302249895282,-4.22419103641462,0.843044143162966,-5.01064039252575,5.42492046911033e-07,5.31707830010745e-06
"SLC7A10",414.726460308171,-4.22162320820147,0.503499419772371,-8.384564196936,5.0914028766335e-17,5.17810584612262e-15
"DACT2",58.7267051723402,-4.20853487422592,0.449601537439945,-9.36058826264149,7.92939679974141e-21,2.43546716067565e-18
"TNNT3",158.675328875604,-4.2012063877451,0.535640537495406,-7.8433316630393,4.38747156319726e-15,2.71364557981261e-13
"FEZF2",2.29066177056617,-4.19088899284173,0.884223694047325,-4.73962530189496,2.14113794898428e-06,1.78847560570313e-05
"CNTFR",519.143498311987,-4.18441577822363,0.49442918511281,-8.46312455699577,2.60307433799197e-17,2.8246842827487e-15
"PENK-AS1",40.3330735038737,-4.18267199401295,0.576765614928237,-7.25194409263349,4.1083147551173e-13,1.64515332376666e-11
"CHL1-AS2",14.2289376595602,-4.18192612794637,0.426686462706884,-9.80093462871162,1.11548665502911e-22,5.7689647071899e-20
"GPAM",9442.6551754843,-4.18051523978838,0.494770056302477,-8.44941036050215,2.92777690363036e-17,3.14891474320987e-15
"GRIA1",38.5591911378268,-4.18051071096911,0.507532378555628,-8.23693401171035,1.76679866664967e-16,1.56026433705891e-14
"G0S2",3709.34552877437,-4.17551093882971,0.572675584491087,-7.29123268375466,3.07131789436542e-13,1.26113150957463e-11
"LHCGR",16.7469693694506,-4.17179105843504,0.822774465559093,-5.07039441920481,3.96992103168194e-07,4.00069944100716e-06
"GSTM5",732.93388937605,-4.16167478754303,0.516178684416002,-8.06246928280562,7.4768537307864e-16,5.60925566772299e-14
"ADH4",30.5117444114765,-4.15357226683024,0.683515586602694,-6.07677768911594,1.22621572310446e-09,2.28395598325672e-08
"THRSP",2051.02116022282,-4.14114962628763,0.573834635596608,-7.21662543422833,5.32935054358804e-13,2.0627471920859e-11
"PCDH9-AS1",6.78330870988793,-4.13010715608842,0.924916142787577,-4.4653855252659,7.99246985952165e-06,5.76648752969406e-05
"ABCD2",436.835264443801,-4.12255126006699,0.572370507564986,-7.20259203711492,5.9078537365695e-13,2.26501893966553e-11
"LINC00906",6.63521714478704,-4.12234406802988,0.840766402602657,-4.90307897088758,9.4346032610287e-07,8.63429598892412e-06
"CSF3",31.7763045785142,-4.11234057019269,0.79691989227897,-5.16029353770119,2.46562941783427e-07,2.62859887102183e-06
"LINC02511",24.7537179553239,-4.11075861258651,0.563958804190498,-7.28911151318413,3.12005731259507e-13,1.27890780939711e-11
"TERB2",1.72564107225926,-4.10550140674036,1.25087278519211,-3.28210946416092,0.00103033598910159,0.00400774154058125
"LINC01484",109.860809454567,-4.10522111912187,0.597810882867412,-6.86708997238573,6.55247474020949e-12,2.01099751906909e-10
"ATOH8",438.573085661321,-4.09340262393067,0.421671975878195,-9.70755197901294,2.79980577671519e-22,1.26027553730771e-19
